SchoolID,SchoolYearStart,CountyID,DistrictID,Enrollment,DistrictEnrollment,CountyEnrollment,FreeLunches,DistrictFreeLunches,CountyFreeLunches,ReducedLunches,DistrictReducedLunches,CountyReducedLunches,EligibleStudents,DistrictEligibleStudents,CountyEligibleStudents,PercentEligible,DistrictPercentEligible,CountyPercentEligible,County,District,School,Spacer
47,7/1/14,3,1922,515,9220,58044,54,1707,17130,16,386,3572,70,2093,20702,13.59,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Stafford Primary School,
1287,7/1/14,3,1922,635,9220,58044,70,1707,17130,23,386,3572,93,2093,20702,14.65,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Athey Creek Middle School,
2787,7/1/14,3,1922,736,9220,58044,88,1707,17130,23,386,3572,111,2093,20702,15.08,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Rosemont Ridge Middle School,
45,7/1/14,3,1922,288,9220,58044,32,1707,17130,12,386,3572,44,2093,20702,15.28,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Cedaroak Park Primary School,
3455,7/1/14,3,1922,332,9220,58044,44,1707,17130,15,386,3572,59,2093,20702,17.77,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Bolton Primary School,
1286,7/1/14,3,1922,550,9220,58044,77,1707,17130,29,386,3572,106,2093,20702,19.27,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Willamette Primary School,
1323,7/1/14,3,1922,1138,9220,58044,226,1707,17130,52,386,3572,278,2093,20702,24.43,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Wilsonville High School,
48,7/1/14,3,1922,297,9220,58044,68,1707,17130,14,386,3572,82,2093,20702,27.61,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Sunset Primary School,
46,7/1/14,3,1922,749,9220,58044,201,1707,17130,51,386,3572,252,2093,20702,33.64,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Inza R Wood Middle School,
1272,7/1/14,3,1922,456,9220,58044,152,1707,17130,33,386,3572,185,2093,20702,40.57,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Boeckman Creek Primary School,
5056,7/1/14,3,1922,541,9220,58044,212,1707,17130,25,386,3572,237,2093,20702,43.81,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Lowrie Primary School,
4773,7/1/14,3,1922,73,9220,58044,30,1707,17130,6,386,3572,36,2093,20702,49.32,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Arts and Technology High School,
3913,7/1/14,3,1922,571,9220,58044,262,1707,17130,35,386,3572,297,2093,20702,52.01,22.7,35.67,Clackamas,West Linn-Wilsonville SD 3J,Boones Ferry Primary School,
3029,7/1/14,24,2117,2,73,60991,,24,32986,,,4619,0,24,37605,,,61.66,Marion,Willamette ESD,Metsker Heights at Rainbow Family Services,
2334,7/1/14,24,2117,16,73,60991,,24,32986,,,4619,0,24,37605,,,61.66,Marion,Willamette ESD,Oregon State Hospital Salem (educational program),
3369,7/1/14,24,2117,26,73,60991,,24,32986,,,4619,24,24,37605,,,61.66,Marion,Willamette ESD,Sitka Academy,
1226,7/1/14,36,2255,248,835,16624,111,466,7498,24,63,1098,135,529,8596,54.44,63.35,51.71,Yamhill,Willamina SD 30J,Willamina High School,
1225,7/1/14,36,2255,126,835,16624,71,466,7498,6,63,1098,77,529,8596,61.11,63.35,51.71,Yamhill,Willamina SD 30J,Willamina Middle School ,
1224,7/1/14,36,2255,461,835,16624,284,466,7498,33,63,1098,317,529,8596,68.76,63.35,51.71,Yamhill,Willamina SD 30J,Willamina Elementary School,
5201,7/1/14,10,2002,33,1433,13935,22,694,7598,,90,1101,23,784,8699,,54.71,62.43,Douglas,Winston-Dillard SD 116,Dillard Alternative High School,
316,7/1/14,10,2002,424,1433,13935,152,694,7598,22,90,1101,174,784,8699,41.04,54.71,62.43,Douglas,Winston-Dillard SD 116,Douglas High School,
