SchoolID,School,District,SchoolType,No_of_Program,Summer_2015_Activities,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
960,Centennial Middle School,Centennial SD 28J,M,2,sports and academic,73.26,83.4,Science,99.4,64.7
631,Central Elementary School,Greater Albany Public SD 8J,E,6,,54.97,88,English Language Arts,94.5,50.7
631,Central Elementary School,Greater Albany Public SD 8J,E,6,,54.97,88,Mathematics,100,42.5
631,Central Elementary School,Greater Albany Public SD 8J,E,6,,54.97,88,Science,100,66.7
1311,Central Linn Elementary School,Central Linn SD 552,E,1,summer camp(educational and fun activities)  ,51.66,81.8,English Language Arts,99.1,54.5
1311,Central Linn Elementary School,Central Linn SD 552,E,1,summer camp(educational and fun activities)  ,51.66,81.8,Mathematics,99.1,43.5
1311,Central Linn Elementary School,Central Linn SD 552,E,1,summer camp(educational and fun activities)  ,51.66,81.8,Science,98.3,84.2
3554,Central Medford High School,Medford SD 549C,H,1,Continued education curriculm,77.1,15.3,English Language Arts,78.1,12.3
3554,Central Medford High School,Medford SD 549C,H,1,Continued education curriculm,77.1,15.3,Mathematics,,5
3554,Central Medford High School,Medford SD 549C,H,1,Continued education curriculm,77.1,15.3,Science,47.9,34.3
1057,Central Middle School,Milton-Freewater Unified SD 7,M,1,,74.46,85.8,English Language Arts,99.5,32.8
1057,Central Middle School,Milton-Freewater Unified SD 7,M,1,,74.46,85.8,Mathematics,99.5,19.8
1057,Central Middle School,Milton-Freewater Unified SD 7,M,1,,74.46,85.8,Science,99.2,57.8
382,Central Point Elementary School,Central Point SD 6,E,4,,62.93,89,English Language Arts,97.3,40.6
382,Central Point Elementary School,Central Point SD 6,E,4,,62.93,89,Mathematics,98.2,41.1
382,Central Point Elementary School,Central Point SD 6,E,4,,62.93,89,Science,100,46.2
4146,Cesar Chavez Elementary School,Eugene SD 4J,E,2,,73.57,75.1,English Language Arts,95.9,49.8
4146,Cesar Chavez Elementary School,Eugene SD 4J,E,2,,73.57,75.1,Mathematics,95.5,35.4
4146,Cesar Chavez Elementary School,Eugene SD 4J,E,2,,73.57,75.1,Science,98.8,63
841,Cesar Chavez K-8 School,Portland SD 1J,E,4,Reading art and physical recreation activities,87.47,82.7,English Language Arts,98.9,24.1
841,Cesar Chavez K-8 School,Portland SD 1J,E,4,Reading art and physical recreation activities,87.47,82.7,Mathematics,98.5,21.1
841,Cesar Chavez K-8 School,Portland SD 1J,E,4,Reading art and physical recreation activities,87.47,82.7,Science,95.5,19
5064,Cesar E Chavez Elem,Salem-Keizer SD 24J,E,0,Books and possibly open Library possible Kinder camp/ mostly only community kids this year. Summer School is at Hoover.,84.52,79.4,English Language Arts,98.9,31.9
5064,Cesar E Chavez Elem,Salem-Keizer SD 24J,E,0,Books and possibly open Library possible Kinder camp/ mostly only community kids this year. Summer School is at Hoover.,84.52,79.4,Mathematics,98.5,25.2
5064,Cesar E Chavez Elem,Salem-Keizer SD 24J,E,0,Books and possibly open Library possible Kinder camp/ mostly only community kids this year. Summer School is at Hoover.,84.52,79.4,Science,100,33.8
1159,Chehalem Elementary School,Beaverton SD 48J,E,1,THPRD Recmobile,59.96,89,English Language Arts,98.8,47.5
1159,Chehalem Elementary School,Beaverton SD 48J,E,1,THPRD Recmobile,59.96,89,Mathematics,99.2,39.9
1159,Chehalem Elementary School,Beaverton SD 48J,E,1,THPRD Recmobile,59.96,89,Science,100,75.4
878,Chief Joseph/Ockley Green School,Portland SD 1J,E,3,Arts crafts music math readingscience and physical recreation activities are offered.,51.04,86.2,English Language Arts,78.8,49.5
878,Chief Joseph/Ockley Green School,Portland SD 1J,E,3,Arts crafts music math readingscience and physical recreation activities are offered.,51.04,86.2,Mathematics,77.2,35.5
878,Chief Joseph/Ockley Green School,Portland SD 1J,E,3,Arts crafts music math readingscience and physical recreation activities are offered.,51.04,86.2,Science,76.6,64.6
468,Chiloquin Elementary School,Klamath County SD,E,2,,86.86,75.9,English Language Arts,100,25.7
468,Chiloquin Elementary School,Klamath County SD,E,2,,86.86,75.9,Mathematics,100,31.1
468,Chiloquin Elementary School,Klamath County SD,E,2,,86.86,75.9,Science,100,55
540,Churchill High School,Eugene SD 4J,H,2,,44.95,70.5,English Language Arts,78,82.2
540,Churchill High School,Eugene SD 4J,H,2,,44.95,70.5,Mathematics,58.3,27.2
540,Churchill High School,Eugene SD 4J,H,2,,44.95,70.5,Science,82.6,50.9
163,Clatskanie Elementary School,Clatskanie SD 6J,E,1,They are doing KinderCamp this week.  It will also be a good test to see if we would want to expand program in the future.,61.49,77.7,English Language Arts,98.5,50.3
163,Clatskanie Elementary School,Clatskanie SD 6J,E,1,They are doing KinderCamp this week.  It will also be a good test to see if we would want to expand program in the future.,61.49,77.7,Mathematics,98.5,35.6
163,Clatskanie Elementary School,Clatskanie SD 6J,E,1,They are doing KinderCamp this week.  It will also be a good test to see if we would want to expand program in the future.,61.49,77.7,Science,100,75
1228,Columbus Elementary School,McMinnville SD 40,E,3,,64.38,85.2,English Language Arts,97.6,52.4
1228,Columbus Elementary School,McMinnville SD 40,E,3,,64.38,85.2,Mathematics,97.6,40.2
1228,Columbus Elementary School,McMinnville SD 40,E,3,,64.38,85.2,Science,100,75
191,Coquille Junior Senior High,Coquille SD 8,H,1,,46.7,79.8,English Language Arts,100,53.8
191,Coquille Junior Senior High,Coquille SD 8,H,1,,46.7,79.8,Mathematics,99.4,44.4
191,Coquille Junior Senior High,Coquille SD 8,H,1,,46.7,79.8,Science,99.1,60.4
4025,Coquille Valley Elementary,Coquille SD 8,E,0,,62.43,76.4,English Language Arts,97.9,40.5
4025,Coquille Valley Elementary,Coquille SD 8,E,0,,62.43,76.4,Mathematics,98.7,31.4
4025,Coquille Valley Elementary,Coquille SD 8,E,0,,62.43,76.4,Science,98.1,60.8
580,Cottage Grove High School,South Lane SD 45J3,H,1,Summer School open to the public,59.71,77.7,English Language Arts,96.1,74.5
580,Cottage Grove High School,South Lane SD 45J3,H,1,Summer School open to the public,59.71,77.7,Mathematics,97.1,35.4
580,Cottage Grove High School,South Lane SD 45J3,H,1,Summer School open to the public,59.71,77.7,Science,55.4,91.2
843,Creston Elementary School,Portland SD 1J,E,2,Enrichment activities such as reading writing sports games arts and crafts.,62.01,86.5,English Language Arts,92.1,54.6
843,Creston Elementary School,Portland SD 1J,E,2,Enrichment activities such as reading writing sports games arts and crafts.,62.01,86.5,Mathematics,93.1,39
843,Creston Elementary School,Portland SD 1J,E,2,Enrichment activities such as reading writing sports games arts and crafts.,62.01,86.5,Science,96.2,58.8
219,Crooked River Elementary School,Crook County SD,E,1,,59.83,87.1,English Language Arts,98.5,53.1
219,Crooked River Elementary School,Crook County SD,E,1,,59.83,87.1,Mathematics,99,50.8
219,Crooked River Elementary School,Crook County SD,E,1,,59.83,87.1,Science,100,76.9
983,David Douglas High School,David Douglas SD 40,H,3,Summer programs including Sun School and math since clubs,72.92,73.7,English Language Arts,94.3,57.5
983,David Douglas High School,David Douglas SD 40,H,3,Summer programs including Sun School and math since clubs,72.92,73.7,Mathematics,93.5,24.3
983,David Douglas High School,David Douglas SD 40,H,3,Summer programs including Sun School and math since clubs,72.92,73.7,Science,85.7,51
949,Davis Elementary School,Reynolds SD 7,E,2,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,94.38,83.3,English Language Arts,98.2,11.7
949,Davis Elementary School,Reynolds SD 7,E,2,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,94.38,83.3,Mathematics,98.2,7.3
949,Davis Elementary School,Reynolds SD 7,E,2,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10.,94.38,83.3,Science,100,15.6
1291,Dayton Jr High School,Dayton SD 8,M,1,Where the food grows theam. Learn where and how food is grown in our area.  Farm Day Crafts reading groups garden sharing area open gym.,71.37,95,English Language Arts,98.7,40.2
1291,Dayton Jr High School,Dayton SD 8,M,1,Where the food grows theam. Learn where and how food is grown in our area.  Farm Day Crafts reading groups garden sharing area open gym.,71.37,95,Mathematics,98.2,29.8
1291,Dayton Jr High School,Dayton SD 8,M,1,Where the food grows theam. Learn where and how food is grown in our area.  Farm Day Crafts reading groups garden sharing area open gym.,71.37,95,Science,98.8,30.9
3353,Dayville School,Dayville SD 16J,H,1,Community garden arts and crafts PE type activities,,91.7,English Language Arts,100,44
